DATABASE_ID,NAME,SMILES,logP,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methy,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phos_acid,fr_piperdine,fr_piperzine,fr_priamide,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophen,fr_unbrch_alkane,fr_urea,MW,MR,HBA,HBD,RotBonds,AromRings,AliphRings,PSA,C,Cl,F,Br,I
ENV8407,"4H-Pyran-4-one, 2-Bu-3-hydroxy-6-Me-",CCCCc1oc(C)cc(=O)c1O,1.92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.219,49.99180000000003,3,1,3,1,0,50.44,10,0,0,0,0
ENV174,METHOTRIMEPRAZINE,COc1ccc2c(c1)N(C[C@H](C)CN(C)C)c1ccccc1S2,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.4810000000001,98.28300000000009,4,0,5,2,1,15.71,19,0,0,0,0
ENV8476,"L-Valinamide, N2-acetyl-L-asparaginyl-",CC(=O)NC(CC(N)=O)C(=O)NC(C(N)=O)C(C)C,-1.85,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,272.305,67.37920000000001,4,4,7,0,0,144.38,11,0,0,0,0
ENV4722,3-CYCLOPENTYLMETHYLHYDROTHIAZIDE,NS(=O)(=O)c1ccc2c(c1)S(=O)(=O)NC(CC1CCCC1)N2,1.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,345.446,82.12240000000004,5,3,3,1,2,118.36,13,0,0,0,0
ENV12122,"N-DIETHYLAMINOETANILINE,3-CL-4-ME",CCN(CC)CCNc1ccc(C)c(Cl)c1,4.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.778,72.46670000000005,2,1,6,1,0,15.27,13,1,0,0,0
ENV11726,"2,5-CYCLOHEXADIENE-1,4-DIONE, 2-PHENYL-",O=C1C=CC(=O)C(c2ccccc2)=C1,1.95,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.194,53.573000000000015,2,0,1,1,1,34.14,12,0,0,0,0
ENV13165,"CARBAMIC ACID, (3,4-DIETHOXYPHENYL)-, 2-PROPYNYL",C#CCOC(=O)Nc1ccc(OCC)c(OCC)c1,2.68,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,263.29299999999995,72.58370000000004,4,1,6,1,0,56.790000000000006,14,0,0,0,0
ENV1000,"BARBITURIC,2-THIO-5-ET-5-MEALLYL",C=C(C)CC1(CC)C(=O)NC(=S)NC1=O,2.19,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.301,61.03840000000002,3,2,3,0,1,58.2,10,0,0,0,0
ENV6853,"24-NH2PYRIMIDINE,5(4MEO-3PHMEO)BENZYL",COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1,2.44,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336.39500000000004,97.4308,6,2,6,3,0,96.28,19,0,0,0,0
ENV6891,"1-AMINOADAMANTANE,3,5-DIETHYL",CCC12CC3CC(N)(C1)CC(CC)(C3)C2,4.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.361,63.55840000000005,1,1,2,0,4,26.02,14,0,0,0,0
ENV8243,"Carbamic acid, (3-methoxyphenyl)-, 2-(4-morpholi",COc1cccc(NC(=O)OCCN2CCOCC2)c1,2.19,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.324,75.22370000000004,5,1,5,1,1,60.03,14,0,0,0,0
ENV431,FENAC,O=C(O)Cc1c(Cl)ccc(Cl)c1Cl,3.2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.485,52.81180000000001,1,1,2,1,0,37.3,8,3,0,0,0
ENV5213,"2-PYRROLIDINONE, 1-(1-OXODECYL)-",CCCCCCCCCC(=O)N1CCCC1=O,4.33,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,239.35899999999995,68.56400000000005,2,0,8,0,1,37.38,14,0,0,0,0
ENV7602,"3-Buten-2-one,111-triF-4(3-cyanophenyl)-",N#Cc1cccc(C=CC(=O)C(F)(F)F)c1,2.45,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.16899999999995,51.25300000000001,2,0,2,1,0,40.86,11,0,3,0,0
ENV6945,"BUTANAMIDE, N-[(2-AMINO-4-METHOXYPHENYL)SULFONYL",CCC(CC)C(=O)NS(=O)(=O)c1ccc(OC)cc1N,2.03,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,300.3800000000001,76.80690000000004,5,2,6,1,0,98.49,13,0,0,0,0
ENV13952,TYR-LEU-VAL,CC(C)CC(NC(=O)C(N)Cc1ccc(O)cc1)C(=O)NC(C(=O)O)C(C)C,-1.45,1,0,0,0,0,0,0,1,1,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393.4840000000001,105.57640000000006,5,5,10,1,0,141.75000000000003,20,0,0,0,0
ENV9705,DIETHYLKETONE14CHLOROPHENYL24TOLUENESULFONYL,CCC(=O)C(CS(=O)(=O)c1ccc(C)cc1)c1ccc(Cl)cc1,3.43,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,350.8670000000001,92.72280000000003,3,0,6,2,0,51.21,18,1,0,0,0
ENV9245,Methioninesulfone,CS(=O)(=O)CCC(N)C(=O)O,-3.1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,181.213,39.939000000000014,4,2,4,0,0,97.45999999999998,5,0,0,0,0
ENV13304,"2-THIOPHENESULFONAMIDE, 5-[(3-HYDROXYPROPYL)SULF",NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)s1,-0.36,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,285.36800000000005,59.44780000000002,6,2,5,1,0,114.53,7,0,0,0,0
ENV10423,"INDANDIONE,2-(4-PYRIDYLIDENE,2,6-DIMETHYL,1-PROP",CC1=CC(=C2C(=O)c3ccccc3C2=O)C=C(C)N1CCCNC(=O)N(CCCl)N=O,2.84,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,1,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,442.9030000000002,117.58570000000005,6,1,7,1,2,99.15,22,1,0,0,0
ENV329,TRIPHENYLCARBINOL,OC(c1ccccc1)(c1ccccc1)c1ccccc1,3.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260.336,81.42680000000004,1,1,3,3,0,20.23,19,0,0,0,0
ENV13338,"BENZENESULFONAMIDE, 3-FLUORO-4-[(3-HYDROXYPROPYL",NS(=O)(=O)c1ccc(SCCCO)c(F)c1,0.99,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,265.331,60.20000000000002,4,2,5,1,0,80.39,9,0,1,0,0
ENV13607,"1H-1,2,3-Triazole, 1-[2-(4-nitrophenoxy)ethyl]-",O=[N+]([O-])c1ccc(OCCn2ccnn2)cc1,1.19,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.215,58.61340000000003,6,0,5,2,0,83.08,10,0,0,0,0
ENV10699,"PYRIDINE-3-SULFONYLCYANOGUANIDINE,N1-I-PROPYL,4-",CCc1cccc(Nc2ccncc2S(=O)(=O)NC(=NC#N)NC(C)C)c1,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,386.4810000000001,104.98090000000003,6,3,6,2,0,119.27,18,0,0,0,0
DB00304,Desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,5.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,310.48100000000005,94.62580000000004,1,1,1,0,4,20.23,22,0,0,0,0
ENV5066,"4(1H)-Pyridinone, 3-hydroxy-2-methyl-1-(1-methyl",Cc1c(O)c(=O)ccn1C(C)C,0.05,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,167.208,47.48880000000003,3,1,1,1,0,42.23,9,0,0,0,0
ENV374,ISOBUTYRIC ACID,CC(C)C(=O)O,0.94,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.10599999999998,22.473799999999997,1,1,1,0,0,37.3,4,0,0,0,0
ENV12486,5-ETHYL-6-AZAURACIL,CCc1n[nH]c(=O)[nH]c1=O,0.22,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.12999999999997,34.85639999999999,3,2,1,1,0,78.61,5,0,0,0,0
ENV8516,"Furazanmethanol, phenyl-",OCc1nonc1-c1ccccc1,1.92,0,1,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.17499999999998,45.65680000000001,4,1,2,2,0,59.150000000000006,9,0,0,0,0
ENV2959,"TYROSINE-N-ACETYL,METHYL ESTER",COC(=O)C(Cc1ccc(O)cc1)NC(C)=O,0.33,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237.25499999999997,61.43150000000003,4,2,4,1,0,75.63000000000001,12,0,0,0,0
ENV9261,"1-Methyl-2-amino-5,6-dichlorobenzimidazole",Cn1c(N)nc2cc(Cl)c(Cl)cc21,2.98,0,0,0,1,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.071,55.14640000000001,3,1,0,2,0,43.84,8,2,0,0,0
ENV79,PRONETHALOL,CC(C)NCC(O)c1ccc2ccccc2c1,3.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.323,72.04650000000005,2,2,4,2,0,32.26,15,0,0,0,0
ENV1803,"2,6-DI-T-BUTYLPYRIDINE",CC(C)(C)c1cccc(C(C)(C)C)n1,4.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,191.318,61.63700000000005,1,0,0,1,0,12.89,13,0,0,0,0
ENV71,CHLOROQUINE,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,4.63,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,319.88000000000005,96.85970000000006,3,1,8,2,0,28.16,18,1,0,0,0
ENV8508,"4H-Pyran-4-one, 2-EtOMe-5-hydroxy-",CCOCc1cc(=O)c(O)co1,-0.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.16399999999996,41.97280000000002,4,1,3,1,0,59.67,8,0,0,0,0
ENV3411,Niflumic acid,O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,4.43,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,282.221,65.923,3,2,3,2,0,62.22,13,0,3,0,0
ENV2700,O-METHYLPHENOXYACETIC ACID,Cc1ccccc1OCC(=O)O,1.98,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.176,44.30980000000002,2,1,3,1,0,46.53,9,0,0,0,0
ENV9649,ACD,CCCCCCC(C)(C)c1ccc(C2CC(O)CC3CCC(O)CC32)c(O)c1,6.13,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,388.59200000000016,114.71140000000008,3,3,7,1,2,60.69,25,0,0,0,0
